iter	Passed	Remaining
462	26247	2097
463	26300	2040
464	26355	1983
465	26411	1926
466	26470	1870
467	26528	1813
468	26582	1757
469	26637	1700
470	26693	1643
471	26749	1586
472	26805	1530
473	26862	1473
474	26917	1416
475	26971	1359
476	27027	1303
477	27083	1246
478	27138	1189
479	27197	1133
480	27258	1076
481	27315	1020
482	27371	963
483	27426	906
484	27483	849
485	27536	793
486	27592	736
487	27650	679
488	27702	623
489	27762	566
490	27820	509
491	27878	453
492	27932	396
493	27985	339
494	28047	283
495	28102	226
496	28160	169
497	28216	113
498	28273	56
499	28328	0
